Intern_ID,Task_Completion_Time_Hrs,Feedback_Rating,Attendance_Percentage,Performance
508,16.48,3.6,9.77,0.33
509,10.47,2.2,70.13,0.34
510,9.56,2.1,21.99,0.36
511,10.76,4.3,76.26,0.6
512,14.6,3.2,89.85,0.34
513,7.68,4.0,2.54,0.66
514,7.0,4.2,90.7,0.71
515,2.29,2.6,93.76,0.66
516,4.8,2.2,72.63,0.53
517,2.12,4.2,55.82,0.86
518,4.69,3.1,94.77,0.64
519,7.57,3.4,8.11,0.59
520,2.82,4.5,61.62,0.88
521,7.91,4.9,9.38,0.76
522,1.02,3.1,72.71,0.76
523,15.54,3.6,67.31,0.36
524,15.22,4.5,33.45,0.48
525,12.04,3.3,9.01,0.43
526,11.57,2.0,50.63,0.28
527,16.1,2.6,44.23,0.21
528,1.73,1.0,22.49,0.48
529,2.53,2.1,92.27,0.59
530,15.45,3.6,39.95,0.36
531,6.51,3.6,98.05,0.65
532,15.62,1.1,34.53,0.04
533,1.22,4.4,73.04,0.92
534,8.96,3.4,89.48,0.54
535,15.32,4.0,95.36,0.41
536,12.2,1.4,79.81,0.19
537,12.85,2.4,16.18,0.29
538,4.96,3.0,38.55,0.62
539,3.22,2.1,3.38,0.57
540,12.31,3.7,98.8,0.47
541,13.52,3.4,94.4,0.4
542,7.55,5.0,20.95,0.79
543,14.48,4.1,9.36,0.45
544,7.57,2.3,1.93,0.45
545,3.93,3.0,40.14,0.66
546,1.88,1.9,52.29,0.58
547,2.37,2.4,25.92,0.63
548,3.44,2.8,80.99,0.65
549,1.75,2.1,55.5,0.61
550,8.55,4.5,2.47,0.69
551,15.76,1.8,7.8,0.12
552,13.62,1.1,5.56,0.11
553,7.35,1.2,84.84,0.32
554,7.53,3.1,37.0,0.55
555,7.16,1.8,77.94,0.4
556,1.34,3.7,78.72,0.83
557,6.46,3.1,21.4,0.59
558,11.17,3.8,73.55,0.52
559,4.41,4.7,18.14,0.85
560,7.98,4.0,53.29,0.65
561,14.55,4.9,73.12,0.55
562,4.97,3.2,61.64,0.65
563,3.42,3.3,92.72,0.71
564,4.7,3.1,14.23,0.64
565,3.29,2.6,41.24,0.63
566,8.96,2.1,73.02,0.38
567,13.4,2.4,78.55,0.27
568,12.74,1.6,92.42,0.2
569,3.78,1.0,38.34,0.41
570,8.91,1.6,72.16,0.32
571,12.18,3.6,7.23,0.46
572,6.54,3.3,36.77,0.61
573,4.25,4.5,50.57,0.83
574,9.31,3.0,64.56,0.48
575,14.18,3.0,22.0,0.32
576,3.4,4.5,41.89,0.86
577,1.38,2.5,21.83,0.68
578,15.66,2.8,44.94,0.25
579,15.08,1.5,67.29,0.11
580,4.27,2.5,75.74,0.58
581,11.77,1.1,64.62,0.17
582,3.2,2.7,59.27,0.64
583,14.58,2.4,21.52,0.24
584,12.68,1.6,59.19,0.2
585,4.25,1.9,97.61,0.51
586,8.72,1.3,81.27,0.29
587,11.17,5.0,42.54,0.67
588,7.04,4.2,58.09,0.71
589,15.33,3.6,30.56,0.36
590,12.32,4.2,7.52,0.53
591,9.21,3.2,26.89,0.51
592,15.58,3.0,79.64,0.28
593,9.1,1.8,78.61,0.34
594,1.77,2.7,0.36,0.69
595,1.22,2.8,45.65,0.72
596,16.3,3.3,70.4,0.29
597,11.2,4.1,57.98,0.56
598,11.27,2.0,66.41,0.29
599,5.78,4.0,66.2,0.72
600,10.3,3.5,73.27,0.51
601,8.63,4.3,99.74,0.67
602,6.7,1.4,45.25,0.37
603,1.07,4.4,38.25,0.92
604,6.13,2.4,28.9,0.51
605,15.04,2.7,98.86,0.26
606,2.95,2.4,3.08,0.61
607,13.98,1.1,91.13,0.09
608,12.33,3.1,48.56,0.4
609,6.8,4.5,74.63,0.75
610,2.89,3.0,45.98,0.69
611,3.52,3.4,21.69,0.72
612,3.57,3.3,77.51,0.7
613,13.58,3.9,14.28,0.46
614,15.88,2.2,50.63,0.17
615,15.04,1.3,87.05,0.08
616,13.0,3.5,56.79,0.43
617,15.91,4.5,93.01,0.46
618,15.75,1.0,13.62,0.02
619,7.84,1.2,98.93,0.3
620,1.52,3.5,92.01,0.8
621,10.26,3.9,99.53,0.56
622,12.09,3.6,33.62,0.47
623,2.67,2.7,11.24,0.66
624,10.97,1.9,15.58,0.29
625,9.22,3.5,98.33,0.55
626,1.71,2.2,76.04,0.63
627,10.39,3.2,21.28,0.47
628,4.01,1.3,97.71,0.44
629,5.25,4.1,17.55,0.75
630,11.28,3.3,26.67,0.46
631,5.17,2.4,53.12,0.54
632,7.27,2.3,58.85,0.46
633,8.45,4.6,33.64,0.71
634,3.04,4.2,1.59,0.83
635,12.84,1.1,81.4,0.13
636,11.64,1.9,76.77,0.27
637,14.16,1.1,99.48,0.09
638,5.02,2.1,6.35,0.51
639,4.38,4.4,52.55,0.82
640,15.44,3.4,3.61,0.33
641,5.38,3.6,59.15,0.68
642,12.19,2.1,28.77,0.28
643,9.61,3.3,46.44,0.51
644,15.08,2.0,21.55,0.17
645,10.33,4.6,98.93,0.65
646,5.17,2.6,61.96,0.57
647,2.15,2.4,52.14,0.64
648,14.74,3.9,65.67,0.42
649,7.45,4.5,56.66,0.73
650,1.0,3.0,60.17,0.75
651,4.07,1.6,15.54,0.48
652,1.52,1.1,45.5,0.5
653,12.18,4.5,5.97,0.58
654,13.94,3.5,53.14,0.4
655,3.16,2.8,18.8,0.66
656,13.3,2.1,86.04,0.24
657,12.62,1.9,81.94,0.24
658,2.94,3.9,91.26,0.8
659,5.93,4.7,27.29,0.8
660,3.42,4.9,50.16,0.91
661,12.9,4.6,32.04,0.57
662,4.97,4.3,5.43,0.78
663,12.21,3.5,71.03,0.45
664,15.36,2.0,8.83,0.16
665,7.41,1.2,6.32,0.32
666,1.66,1.3,28.01,0.52
667,4.58,2.9,33.35,0.62
668,7.46,1.7,92.77,0.38
669,11.35,1.2,96.18,0.19
670,9.37,2.1,7.86,0.37
671,12.02,2.3,83.94,0.31
672,7.01,2.9,57.91,0.54
673,3.63,1.9,4.5,0.53
674,12.72,2.1,64.59,0.26
675,2.54,3.6,60.27,0.78
676,15.23,1.6,52.12,0.12
677,7.85,3.9,30.97,0.64
678,5.68,3.9,57.26,0.71
679,4.48,1.8,77.39,0.49
680,14.56,4.6,77.17,0.51
681,9.01,3.3,45.53,0.53
682,5.36,2.2,44.53,0.51
683,3.71,1.1,92.57,0.43
684,11.18,4.0,33.89,0.55
685,7.99,1.4,67.57,0.32
686,10.49,3.0,2.87,0.44
687,4.24,1.6,56.88,0.47
688,3.94,4.4,21.67,0.83
689,3.18,1.9,17.55,0.54
690,5.43,3.9,67.75,0.72
691,10.24,1.9,68.98,0.31
692,13.61,3.0,30.66,0.34
693,7.59,2.3,4.79,0.45
694,5.45,1.3,80.78,0.39
695,10.36,3.3,22.49,0.49
696,10.47,3.5,7.45,0.51
697,10.02,2.8,66.4,0.43
698,1.77,2.2,15.16,0.63
699,1.78,1.6,65.9,0.55
700,3.92,2.9,28.14,0.64
701,8.38,4.4,14.54,0.69
702,14.19,2.4,5.67,0.25
703,7.19,4.9,34.58,0.79
704,4.33,2.8,82.98,0.62
705,13.85,1.7,81.32,0.17
706,3.91,1.9,25.99,0.52
707,15.08,1.6,26.6,0.12
708,3.0,2.0,4.72,0.56
709,4.48,3.7,87.95,0.73
710,9.12,3.7,53.68,0.58
711,9.6,4.1,77.95,0.61
712,10.65,1.1,2.32,0.2
713,15.15,3.3,34.28,0.33
714,10.92,4.2,74.82,0.58
715,12.93,3.2,67.63,0.39
716,10.95,3.0,62.06,0.43
717,6.33,2.4,93.04,0.5
718,14.88,2.9,63.33,0.29
719,8.11,2.8,2.7,0.5
720,14.26,3.8,45.15,0.42
721,14.16,3.8,97.42,0.43
722,8.27,3.0,9.38,0.52
723,2.71,1.8,89.59,0.54
724,1.07,3.7,35.72,0.84
725,15.81,2.1,46.13,0.16
726,2.06,2.7,28.08,0.68
727,10.94,2.8,21.36,0.4
728,10.45,3.3,66.75,0.48
729,10.12,4.5,47.68,0.64
730,8.98,3.2,6.95,0.52
731,13.63,4.1,27.71,0.48
732,8.24,5.0,21.78,0.77
733,15.23,3.8,86.67,0.39
734,13.99,3.0,17.56,0.33
735,11.49,3.6,50.41,0.49
736,5.14,1.1,52.04,0.38
737,12.4,2.0,48.98,0.26
738,1.69,3.3,48.02,0.77
739,16.27,3.0,53.57,0.26
740,15.5,4.3,14.17,0.44
741,16.05,3.7,29.19,0.35
742,15.86,4.5,78.86,0.46
743,14.49,2.6,85.43,0.26
744,5.9,2.3,26.85,0.5
745,15.89,1.9,37.65,0.13
746,9.61,4.6,5.78,0.67
747,3.17,4.6,81.08,0.88
748,10.06,1.1,98.51,0.22
749,4.05,1.8,37.2,0.5
750,5.52,2.7,51.44,0.57
751,16.28,2.2,83.79,0.16
752,12.86,2.0,0.0,0.24
753,5.35,2.5,7.78,0.55
754,7.63,2.5,17.49,0.47
755,11.79,2.4,1.56,0.33
756,14.02,3.9,64.27,0.44
757,10.27,3.1,12.52,0.46
758,7.66,4.1,25.16,0.67
759,8.26,3.5,48.92,0.58
760,16.24,1.2,66.84,0.03
761,7.81,3.0,72.89,0.53
762,7.14,1.8,87.53,0.4
763,3.16,4.4,51.05,0.86
764,5.66,2.5,47.62,0.54
765,11.04,4.2,87.98,0.58
766,13.12,3.5,91.3,0.42
767,3.73,1.2,43.53,0.44
768,8.93,3.1,86.23,0.51
769,13.64,2.7,64.62,0.3
770,10.2,3.3,77.58,0.49
771,14.47,4.8,59.6,0.54
772,5.93,1.0,3.12,0.34
773,5.75,1.9,97.66,0.46
774,8.39,3.6,69.88,0.59
775,6.14,3.7,99.06,0.67
776,3.25,3.3,28.43,0.71
777,11.04,3.5,23.3,0.49
778,4.56,1.4,44.66,0.44
779,1.35,4.3,34.54,0.9
780,6.26,1.4,7.92,0.38
781,8.19,2.5,87.64,0.46
782,13.32,4.3,13.32,0.52
783,8.12,1.5,47.01,0.33
784,4.57,3.0,57.9,0.63
785,16.12,4.1,87.62,0.4
786,14.27,1.0,74.83,0.07
787,8.92,1.8,99.1,0.34
788,14.56,4.8,31.26,0.54
789,7.3,3.6,50.61,0.62
790,1.21,4.3,46.77,0.91
791,10.0,4.8,80.4,0.68
792,15.57,1.1,60.39,0.04
793,2.33,4.5,58.47,0.89
794,14.88,1.3,47.02,0.09
795,7.26,2.2,14.34,0.45
796,1.21,4.7,80.93,0.96
797,13.3,3.2,13.49,0.38
798,16.37,1.6,63.05,0.08
799,4.53,3.6,73.39,0.71
800,6.41,4.2,9.4,0.73
801,8.17,1.7,19.93,0.36
802,16.14,4.1,78.12,0.4
803,4.88,2.4,49.0,0.55
804,8.03,3.7,38.45,0.61
805,10.57,2.8,7.49,0.42
806,10.54,1.6,19.58,0.27
807,15.91,2.3,62.84,0.18
808,14.19,2.9,28.92,0.31
809,5.14,3.0,64.79,0.62
810,7.01,4.4,23.97,0.73
811,15.35,3.7,39.62,0.37
812,15.18,3.6,26.03,0.37
813,10.08,3.8,14.89,0.56
814,14.77,1.5,85.65,0.12
815,3.71,1.3,87.39,0.45
816,11.67,2.4,0.27,0.33
817,12.4,2.6,26.19,0.33
818,8.13,1.7,64.03,0.36
819,4.1,1.8,27.09,0.5
820,11.64,4.6,57.09,0.61
821,1.88,4.8,53.65,0.95
822,12.74,3.8,50.5,0.47
823,8.6,2.2,72.58,0.4
824,3.5,2.4,50.57,0.59
825,8.77,2.7,22.76,0.46
826,9.04,2.9,59.0,0.48
827,10.2,1.9,69.06,0.32
828,15.25,2.2,60.63,0.19
829,6.35,2.1,28.41,0.46
830,9.51,1.8,97.94,0.33
831,8.71,2.6,80.03,0.45
832,10.61,4.8,45.3,0.67
833,10.01,4.4,3.68,0.63
834,13.49,3.3,63.86,0.38
835,5.48,4.6,1.13,0.81
836,14.31,4.8,23.54,0.55
837,10.27,3.1,74.81,0.46
838,1.91,1.4,82.18,0.52
839,16.43,3.9,5.36,0.36
840,9.56,1.7,79.3,0.31
841,13.9,4.4,17.36,0.51
842,13.86,4.3,11.21,0.5
843,3.11,3.6,44.95,0.76
844,12.7,3.1,26.1,0.39
845,14.82,4.8,85.03,0.53
846,7.21,3.1,61.7,0.56
847,6.82,4.8,98.15,0.79
848,12.73,4.3,42.85,0.53
849,9.65,3.1,55.51,0.48
850,4.68,4.7,93.41,0.84
851,12.46,1.9,76.59,0.24
852,3.81,1.9,97.3,0.52
853,1.87,4.9,81.93,0.96
854,3.89,1.5,79.45,0.47
855,5.94,1.0,74.72,0.34
856,14.17,4.7,8.11,0.54
857,16.43,1.7,51.25,0.09
858,6.35,2.1,44.18,0.46
859,15.61,4.5,45.29,0.47
860,5.44,3.4,15.54,0.66
861,14.28,2.7,85.37,0.28
862,1.25,5.0,29.86,0.99
863,9.98,4.7,75.73,0.67
864,14.17,3.2,52.04,0.35
865,13.47,4.5,83.28,0.54
866,4.55,3.2,13.36,0.66
867,4.48,2.5,83.51,0.58
868,5.17,1.8,13.88,0.47
869,10.87,4.3,33.95,0.59
870,14.11,2.1,59.61,0.21
871,6.07,4.4,37.81,0.76
872,15.65,1.2,19.18,0.05
873,2.59,4.6,16.22,0.9
874,9.6,3.0,18.52,0.47
875,13.83,4.9,88.9,0.57
876,11.6,4.6,38.29,0.61
877,7.95,3.8,26.74,0.63
878,12.89,4.4,9.8,0.54
879,10.25,4.5,23.9,0.64
880,6.46,1.4,20.67,0.37
881,1.55,1.7,10.77,0.57
882,9.59,2.7,72.39,0.44
883,5.63,1.3,18.13,0.39
884,1.47,4.2,91.57,0.88
885,8.92,1.5,48.97,0.31
886,12.05,1.3,50.81,0.18
887,1.3,3.2,46.47,0.77
888,5.02,1.3,64.75,0.41
889,9.56,2.6,87.56,0.42
890,2.03,1.7,26.51,0.55
891,14.83,3.1,64.91,0.32
892,11.69,4.0,93.19,0.53
893,13.46,2.6,49.49,0.3
894,7.48,4.8,0.81,0.77
895,7.56,2.5,32.31,0.48
896,10.39,3.8,93.01,0.55
897,13.68,4.1,22.24,0.48
898,2.61,3.4,0.4,0.75
899,12.84,2.2,43.46,0.27
900,5.46,3.1,65.94,0.62
901,6.23,3.2,17.12,0.61
902,2.86,2.6,63.36,0.64
903,9.33,4.9,16.64,0.72
904,5.69,1.9,17.68,0.46
905,7.45,3.8,7.04,0.64
906,13.17,4.8,99.59,0.58
907,13.98,1.2,94.39,0.11
908,10.82,4.7,54.27,0.65
909,2.36,3.1,6.07,0.72
910,5.8,1.6,80.63,0.42
911,5.32,1.5,68.51,0.42
912,3.95,2.6,5.12,0.6
913,7.6,2.8,22.99,0.51
914,7.47,1.8,83.84,0.39
915,11.11,4.5,99.27,0.61
916,10.71,2.8,95.29,0.41
917,4.24,1.1,48.06,0.41
918,10.39,2.1,86.85,0.33
919,11.79,4.0,51.8,0.53
920,7.99,2.9,89.14,0.51
921,6.48,3.5,7.33,0.64
922,11.72,2.4,39.01,0.33
923,1.71,2.2,65.31,0.63
924,16.34,1.2,82.24,0.03
925,7.62,1.2,33.05,0.31
926,7.49,3.6,27.08,0.62
927,15.96,3.8,6.89,0.37
928,3.99,4.1,88.23,0.79
929,5.64,4.3,79.37,0.76
930,1.98,2.0,3.19,0.59
931,16.4,1.2,64.54,0.03
932,5.43,2.6,78.59,0.56
933,13.15,4.7,38.56,0.57
934,12.75,4.1,24.83,0.51
935,6.06,2.5,32.46,0.52
936,2.72,3.9,42.33,0.81
937,5.68,2.1,55.01,0.49
938,6.28,4.2,33.99,0.73
939,16.17,2.3,74.64,0.17
940,2.89,5.0,82.79,0.94
941,3.94,4.8,6.9,0.88
942,15.06,1.2,66.21,0.07
943,8.52,3.4,10.28,0.56
944,16.21,3.0,53.38,0.26
945,10.2,1.0,16.98,0.2
946,7.48,3.3,5.34,0.58
947,5.05,4.6,89.34,0.82
948,10.5,2.3,27.85,0.36
949,9.7,3.2,29.58,0.49
950,5.2,1.8,42.85,0.46
951,5.78,1.2,85.52,0.37
952,4.15,1.3,57.62,0.44
953,4.11,1.8,13.83,0.5
954,1.64,2.1,48.65,0.62
955,15.49,2.1,37.69,0.17
956,1.9,1.1,40.72,0.48
957,10.98,3.0,40.92,0.43
958,9.77,2.9,35.28,0.45
959,1.89,1.0,12.97,0.47
960,1.61,2.8,13.76,0.71
961,8.47,1.3,18.17,0.3
962,5.3,4.3,7.31,0.77
963,8.83,1.1,51.71,0.26
964,3.5,4.8,38.38,0.89
965,5.78,3.5,39.37,0.66
966,7.64,4.7,13.56,0.75
967,11.36,3.1,46.84,0.43
968,14.93,3.7,57.38,0.39
969,2.34,4.1,29.08,0.84
970,5.57,4.6,33.77,0.8
971,5.56,2.8,79.74,0.58
972,1.46,2.3,10.7,0.65
973,1.31,2.2,40.21,0.64
974,12.98,1.2,27.59,0.14
975,9.4,1.9,42.64,0.34
976,11.12,4.4,29.6,0.6
977,10.86,2.8,14.87,0.41
978,9.78,3.7,83.17,0.55
979,9.66,4.5,24.14,0.66
980,14.85,1.2,50.6,0.08
981,8.32,4.4,25.84,0.69
982,8.48,3.2,27.71,0.53
983,6.41,3.7,99.86,0.66
984,6.56,2.6,13.21,0.52
985,6.87,1.2,52.57,0.34
986,2.15,2.2,4.81,0.61
987,1.47,2.2,46.9,0.63
988,15.1,4.4,0.08,0.47
989,12.92,3.8,94.84,0.47
990,2.6,1.0,10.41,0.45
991,7.81,1.7,13.87,0.37
992,6.53,4.9,29.81,0.81
993,4.92,4.0,95.54,0.75
994,3.62,1.1,90.19,0.43
995,9.13,3.6,10.1,0.56
996,11.51,1.4,35.51,0.21
997,12.02,1.6,19.76,0.22
998,10.2,3.9,95.82,0.57
999,10.21,1.4,47.54,0.25
1000,12.97,1.8,39.24,0.21
1001,5.75,2.7,5.26,0.56
1002,5.04,2.5,55.57,0.56
1003,13.66,4.6,99.43,0.54
1004,2.36,2.0,26.74,0.58
1005,13.01,4.2,40.19,0.51
1006,13.65,2.2,79.11,0.24
1007,4.03,3.7,31.95,0.74
1008,10.25,4.7,84.9,0.66
1009,8.9,3.2,36.39,0.52
1010,5.37,4.5,21.8,0.8
1011,10.81,2.2,63.42,0.33
1012,11.7,2.6,6.18,0.35
1013,1.83,1.9,99.83,0.59
1014,16.18,1.4,73.28,0.06
1015,10.83,2.4,90.65,0.36
1016,4.41,1.4,70.01,0.44
1017,11.78,1.3,56.08,0.19
1018,11.9,2.0,73.71,0.27
1019,11.63,4.1,20.78,0.54
1020,2.82,3.0,9.15,0.69
1021,3.2,4.7,14.48,0.89
1022,10.33,1.9,64.34,0.31
1023,11.15,2.7,67.0,0.39
1024,14.04,4.2,21.1,0.48
1025,9.62,3.7,23.2,0.56
1026,5.64,4.5,95.75,0.79
1027,11.92,3.7,94.29,0.49
1028,5.53,3.8,49.75,0.7
1029,1.76,3.0,64.71,0.73
1030,15.16,1.6,73.98,0.12
1031,5.19,3.7,50.73,0.7
1032,3.73,2.4,16.63,0.59
1033,4.54,1.4,36.77,0.44
1034,14.88,1.4,33.55,0.1
1035,11.25,4.8,4.9,0.64
1036,9.83,4.3,39.46,0.63
1037,6.54,3.8,62.13,0.67
1038,8.43,3.2,63.65,0.54
1039,9.52,1.8,10.06,0.33
1040,11.84,1.6,19.78,0.23
1041,15.69,3.6,6.15,0.35
1042,13.79,2.5,52.56,0.27
1043,11.99,4.0,41.7,0.52
1044,15.19,2.3,44.59,0.2
1045,3.49,2.7,52.91,0.63
1046,2.05,4.2,98.08,0.87
1047,1.27,4.6,53.35,0.94
1048,8.99,2.0,0.58,0.37
1049,11.58,4.7,42.73,0.62
1050,16.47,2.8,79.29,0.23
1051,7.2,1.7,6.72,0.39
1052,10.94,4.1,44.85,0.57
1053,5.36,1.9,57.9,0.47
1054,8.05,3.0,44.18,0.52
1055,11.58,1.2,86.71,0.18
1056,15.43,2.6,45.87,0.23
1057,6.35,1.2,70.16,0.35
1058,4.58,3.0,85.95,0.63
1059,2.02,3.7,60.78,0.8
1060,12.94,4.4,74.72,0.54
1061,13.67,3.9,2.32,0.45
1062,7.51,2.1,25.27,0.43
1063,3.61,1.7,35.41,0.5
1064,9.25,4.8,32.55,0.71
1065,14.43,2.0,57.44,0.19
1066,10.56,2.9,77.08,0.43
1067,14.45,2.9,16.28,0.3
1068,11.38,1.9,56.91,0.28
